boot_id,msg_seq,dev_ts_ms,host_ts,mode,raw_m,est_m,fps,meas_status,track_state,has_estimate,consecutive_valids,consecutive_invalids,last_good_ts_ms,restart_count,system_error,rate_mps,predicted_m,residual_m,rejected_by_gate,reject_reason,estimator_mode,test_id,cfg_alpha,cfg_beta,cfg_gate_m,cfg_min_dt_s,cfg_max_reject,cfg_preset_id,predict_hold_count,fw_version,schema_version
boot_a1b2c3d4,0,0,2026-08-15T14:44:00.000,RAW,100.076,100.076,10,VALID,RAW,1,1,0,0,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,1,100,2026-08-15T14:44:00.100,RAW,100.28,100.28,10,VALID,RAW,1,2,0,100,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,2,200,2026-08-15T14:44:00.200,RAW,100.239,100.239,10,VALID,RAW,1,3,0,200,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,3,300,2026-08-15T14:44:00.300,RAW,99.919,99.919,10,VALID,RAW,1,4,0,300,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,4,400,2026-08-15T14:44:00.400,RAW,100.019,100.019,10,VALID,RAW,1,5,0,400,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,5,500,2026-08-15T14:44:00.500,RAW,99.946,99.946,10,VALID,RAW,1,6,0,500,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,6,600,2026-08-15T14:44:00.600,RAW,99.957,99.957,10,VALID,RAW,1,7,0,600,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,7,700,2026-08-15T14:44:00.700,RAW,100.379,100.379,10,VALID,RAW,1,8,0,700,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,8,800,2026-08-15T14:44:00.800,RAW,100.238,100.238,10,VALID,RAW,1,9,0,800,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,9,900,2026-08-15T14:44:00.900,RAW,99.583,99.583,10,VALID,RAW,1,10,0,900,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,10,1000,2026-08-15T14:44:01.000,RAW,100.009,100.009,10,VALID,RAW,1,11,0,1000,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,11,1100,2026-08-15T14:44:01.100,RAW,99.821,99.821,10,VALID,RAW,1,12,0,1100,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,12,1200,2026-08-15T14:44:01.200,RAW,0.0,,10,INVALID,RAW,0,0,13,1100,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,13,1300,2026-08-15T14:44:01.300,RAW,100.07,100.07,10,VALID,RAW,1,14,0,1300,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,14,1400,2026-08-15T14:44:01.400,RAW,99.893,99.893,10,VALID,RAW,1,15,0,1400,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,15,1500,2026-08-15T14:44:01.500,RAW,100.232,100.232,10,VALID,RAW,1,16,0,1500,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,16,1600,2026-08-15T14:44:01.600,RAW,100.017,100.017,10,VALID,RAW,1,17,0,1600,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,17,1700,2026-08-15T14:44:01.700,RAW,99.896,99.896,10,VALID,RAW,1,18,0,1700,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,18,1800,2026-08-15T14:44:01.800,RAW,100.066,100.066,10,VALID,RAW,1,19,0,1800,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,19,1900,2026-08-15T14:44:01.900,RAW,99.944,99.944,10,VALID,RAW,1,20,0,1900,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,20,2000,2026-08-15T14:44:02.000,RAW,99.959,99.959,10,VALID,RAW,1,21,0,2000,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,21,2100,2026-08-15T14:44:02.100,RAW,99.83,99.83,10,VALID,RAW,1,22,0,2100,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,22,2200,2026-08-15T14:44:02.200,RAW,100.057,100.057,10,VALID,RAW,1,23,0,2200,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
boot_a1b2c3d4,23,2300,2026-08-15T14:44:02.300,RAW,99.866,99.866,10,VALID,RAW,1,24,0,2300,0,0,,,,0,,RAW_ONLY,9000,,,,0.1,,RAW,0,0.3.1,3
